MATCH_DATE,HOME_TEAM,AWAY_TEAM,A Win,B Win,Home Win,H_PLUS_MINUS_LS,A_PLUS_MINUS_LS,H_AVG_ODDS_L5,H_PLUS_MINUS_L5,A_PLUS_MINUS_L5,A_AVG_ODDS_L5,LS_PPG_DIFF,LS_FGPCT_DIFF,LS_FTPCT_DIFF,LS_TPPCT_DIFF,LS_OFF_REB_DIFF,LS_ASSIST_DIFF,LS_STEALS_DIFF,LS_TURNOVERS_DIFF,LS_BLOCKS_DIFF,L5_PPG_DIFF,L5_FGPCT_DIFF,L5_FTPCT_DIFF,L5_TPPCT_DIFF,L5_OFF_REB_DIFF,L5_ASSIST_DIFF,L5_STEALS_DIFF,L5_TURNOVERS_DIFF,L5_BLOCKS_DIFF
2016-11-02,Portland Trail Blazers,Golden State Warriors,3.00,1.42,0,7.22,0.74,-68,1.80,-3.80,-292.2,7.57,-0.02,0.00,-0.04,0.78,2.74,0.42,2.35,2.13,8.60,3.40,1.00,11.40,2.80,-4.00,-1.00,-0.60,-0.80
2016-11-02,Washington Wizards,Toronto Raptors,1.80,2.05,0,-2.05,-5.97,-207,4.00,-21.40,475,5.26,0.02,-0.03,0.01,-0.85,3.32,1.01,-0.98,0.68,28.80,8.40,0.60,13.60,4.60,14.60,1.80,1.60,1.80
2016-11-02,Charlotte Hornets,Philadelphia 76ers,1.07,9.50,1,-6.92,-3.79,-127,4.20,-11.60,1070,-4.20,0.01,-0.01,-0.01,0.86,0.42,-0.08,1.38,-0.09,-2.80,-0.20,7.60,-5.80,-1.60,-6.00,-0.80,-4.40,-0.40
2016-11-02,Brooklyn Nets,Detroit Pistons,2.50,1.59,1,-7.23,-2.58,134,-11.20,-6.80,332,-3.10,0.05,0.06,0.04,-0.98,-0.20,0.08,0.41,-0.63,-3.40,-4.00,1.80,-6.40,4.40,-0.80,1.40,2.00,0.80
2016-11-02,New York Knicks,Houston Rockets,1.87,1.95,0,1.72,8.65,44,-0.40,-9.60,156,-13.33,0.03,0.06,-0.04,-0.19,-7.45,-1.70,-1.47,0.31,-7.60,-0.60,8.20,4.60,-1.20,-2.40,-1.80,-2.00,3.60
2016-11-02,Atlanta Hawks,Los Angeles Lakers,1.09,8.50,0,2.84,-0.88,-102,7.80,-16.80,676,-3.93,-0.02,0.05,0.00,-3.58,2.92,-1.15,-0.87,0.99,11.00,6.60,-9.00,10.20,1.80,8.60,1.60,-3.00,3.00
2016-11-03,Memphis Grizzlies,New Orleans Pelicans,1.49,2.75,1,1.89,-2.33,531.2,-3.60,-11.20,553,3.96,0.00,-0.04,0.01,-0.86,0.48,0.16,0.80,0.78,2.20,-2.00,1.60,4.00,4.80,-4.00,-0.20,-2.40,2.20
2016-11-03,Boston Celtics,Chicago Bulls,1.61,2.44,1,3.21,2.46,-204.4,4.00,3.00,-64,2.78,0.01,0.00,-0.02,2.87,3.17,1.96,1.96,-0.51,-0.80,-5.60,-2.60,-2.40,0.40,-1.00,1.20,-0.80,-1.00
2016-11-03,Utah Jazz,Dallas Mavericks,1.63,2.40,1,0.53,5.72,-427,1.20,-12.20,667,1.27,0.03,0.07,0.03,1.27,-1.07,-0.06,1.21,0.67,-0.20,6.20,-0.20,-0.60,-2.40,-4.40,-0.80,3.20,1.40
2016-11-03,Phoenix Suns,Portland Trail Blazers,2.30,1.67,1,-2.27,7.22,73,-7.00,-3.00,292,-10.99,0.06,0.18,0.06,-2.48,-1.92,-1.61,-2.44,-0.13,-10.80,0.20,-0.40,-9.00,5.00,-2.20,0.00,5.00,-1.80
